Family,Order,HybProp,Hyb_Ratio,perc_per,perc_wood,perc_ag,floral_symm,mating_system,repro_syndrome,pollination_syndrome,RedList,Tm,C_value,CV_C_value
Convolvulaceae,Solanales,0.229758418,0.040201005,0.68707483,0.026315789,0.044375,0.027777778,1,0.807692308,1,1.91,0.38425,2.935333333,187.4734648
Cornaceae,Cornales,1.322751323,0.178571429,0.964285714,0.75,0,.,1,0.6,1,1.25,.,1.83,74.29835431
Crassulaceae,Saxifragales,0.110619469,0.013274336,0.769911504,0.039823009,0,0,1,0.55,0.947368421,0.38,0.728,1.234255319,124.8772342
Crossosomataceae,Crossosomatales,0,0,1,1,0,.,.,.,.,.,.,.,.
Cucurbitaceae,Cucurbitales,2.974358974,0.08,0.357142857,0.02,0.024852071,0.035714286,0.833333333,0.875,1,1.6,0.498,0.981973684,62.4489243
Cunoniaceae,Oxalidales,0,0,1,1,0,0,.,.,1,1.85,.,.,.
Cupressaceae,Pinophyta,0.908119658,0.067307692,1,1,0.007142857,.,1,1,0.125,1.01,0.630142857,12.64888112,30.70520135
Cyatheaceae,Monilophytes,33.33333333,0.333333333,1,1,0,.,.,.,.,2.19,.,7.35,.
Cyperaceae,Poales,0.06636976,0.07221458,0.91933475,0,0.00045977,0.45,1,0.512578616,0.105381166,2.53,0.13225,1.062465753,144.9035847
Cytinaceae,Malvales,0,0,1,0,0,0,.,.,1,.,.,.,.
Dennstaedtiaceae,Monilophytes,50,0.571428571,1,0,0,.,1,0.5,0,2,.,9.8,18.37598277
Dilleniaceae,Dilleniaceae,0,0,1,0.956521739,0,0,.,.,1,2.5,.,1.575,95.62777422
Dioscoreaceae,Dioscoreales,0,0,1,0,0.009195402,0.222222222,1,1,1,1.7,0.86,1.042758621,110.6995408
Droseraceae,Caryophyllales,1,0.12,0.941176471,0,0,0,1,0.4,0.944444444,2,.,0.665,37.86369417
